resultID,raceID,driverID,constructorID,qualifyID,FinalPosition,RacePoints,FastestLap,TotalLaps
1,18,1,1,1,1,10,01:27.5,58
2,18,2,2,5,2,8,01:27.7,58
3,18,3,3,7,3,6,01:28.1,58
4,18,4,4,12,4,5,01:28.6,58
5,18,5,1,3,5,4,01:27.4,58
6,18,6,3,14,6,3,01:29.6,57
7,18,7,5,18,7,2,01:29.5,55
8,18,8,6,16,8,1,01:27.9,53
9,18,9,2,2,0,0,01:28.8,47
10,18,10,7,9,0,0,01:29.6,43
11,18,11,8,20,0,0,01:30.9,32
12,18,12,4,21,0,0,01:31.4,30
13,18,13,6,4,0,0,01:28.2,29
14,18,14,9,8,0,0,01:29.5,25
15,18,15,7,6,0,0,01:29.3,19
16,18,16,10,19,0,0,01:32.0,8
17,18,17,9,15,0,0,0,0
18,18,18,11,13,0,0,0,0
19,18,19,8,22,0,0,0,0
20,18,20,5,10,0,0,0,0
21,18,21,10,17,0,0,0,0
22,18,22,11,11,0,0,01:28.7,58
23,19,8,6,24,1,10,01:35.4,56
24,19,9,2,28,2,8,01:35.9,56
25,19,5,1,25,3,6,01:35.9,56
26,19,15,7,27,4,5,01:36.1,56
27,19,1,1,26,5,4,01:35.5,56
28,19,2,2,29,6,3,01:35.4,56
29,19,17,9,30,7,2,01:36.7,56
30,19,4,4,31,8,1,01:36.3,56
31,19,14,9,34,9,0,01:36.2,56
32,19,18,11,33,10,0,01:35.7,56
33,19,12,4,35,11,0,01:37.0,56
34,19,21,10,39,12,0,01:37.0,55
35,19,22,11,36,13,0,01:36.7,55
36,19,3,3,38,14,0,01:36.8,55
37,19,19,8,44,15,0,01:38.2,55
38,19,11,8,42,16,0,01:38.5,54
39,19,6,3,40,17,0,01:37.7,54
40,19,20,5,37,0,0,01:36.9,39
41,19,13,6,23,0,0,01:35.9,30
42,19,16,10,43,0,0,01:40.3,5
43,19,10,7,32,0,0,0,1
44,19,7,5,41,0,0,0,0
45,20,13,6,46,1,10,01:33.6,57
46,20,8,6,48,2,8,01:33.7,57
47,20,9,2,45,3,6,01:33.8,57
48,20,2,2,50,4,5,01:33.6,57
49,20,5,1,49,5,4,01:33.2,57
50,20,15,7,51,6,3,01:34.2,57
51,20,17,9,55,7,2,01:34.3,57
52,20,3,3,52,8,1,01:34.1,57
53,20,10,7,57,9,0,01:34.8,57
54,20,4,4,54,10,0,01:35.2,57
55,20,22,11,56,11,0,01:34.9,57
56,20,21,10,62,12,0,01:35.1,56
57,20,1,1,47,13,0,01:35.5,56
58,20,6,3,60,14,0,01:35.4,56
59,20,7,5,59,15,0,01:35.3,56
60,20,19,8,65,16,0,01:35.3,56
61,20,11,8,66,17,0,01:35.9,56
62,20,14,9,61,18,0,01:35.4,56
63,20,16,10,64,19,0,01:35.4,56
64,20,12,4,58,0,0,01:35.1,40
65,20,18,11,53,0,0,01:36.1,19
66,20,20,5,63,0,0,0,0
67,21,8,6,67,1,10,01:21.7,66
68,21,13,6,69,2,8,01:21.8,66
69,21,1,1,71,3,6,01:22.0,66
70,21,9,2,70,4,5,01:22.1,66
71,21,17,9,73,5,4,01:22.6,66
72,21,18,11,79,6,3,01:22.4,66
73,21,6,3,78,7,2,01:23.5,66
74,21,15,7,74,8,1,01:22.8,66
75,21,2,2,75,9,0,01:22.5,66
76,21,21,10,85,10,0,01:23.4,65
77,21,10,7,80,11,0,01:23.0,65
78,21,14,9,83,12,0,01:22.8,65
79,21,11,8,88,13,0,01:24.6,65
80,21,3,3,81,0,0,01:23.3,41
81,21,4,4,68,0,0,01:22.7,34
82,21,22,11,77,0,0,01:23.9,34
83,21,5,1,72,0,0,01:22.5,21
84,21,19,8,87,0,0,01:26.9,8
